"transactions_id","sale_date","sale_time","customer_id","gender","age","category","quantiy","price_per_unit","cogs","total_sale"
1484,"2022-11-23","09:29:00",22,"Female",19,"Clothing",4,"300","147","1200"
64,"2022-11-15","06:34:00",7,"Male",49,"Clothing",4,"25","8.5","100"
284,"2022-11-12","09:17:00",129,"Male",43,"Clothing",4,"50","20.5","200"
1885,"2022-11-09","07:32:00",148,"Female",52,"Clothing",4,"30","10.8","120"
547,"2022-11-14","07:36:00",3,"Male",63,"Clothing",4,"500","250","2000"
159,"2022-11-10","21:30:00",42,"Male",26,"Clothing",4,"50","23.5","200"
699,"2022-11-21","22:21:00",129,"Female",37,"Clothing",4,"30","16.2","120"
1259,"2022-11-03","17:31:00",105,"Female",45,"Clothing",4,"50","21","200"
146,"2022-11-10","22:01:00",74,"Male",38,"Clothing",4,"50","49","200"
1476,"2022-11-11","22:27:00",130,"Female",27,"Clothing",4,"500","555","2000"
1296,"2022-11-26","20:42:00",45,"Female",22,"Clothing",4,"300","342","1200"
1696,"2022-11-21","17:59:00",24,"Female",50,"Clothing",4,"50","55","200"
1497,"2022-11-19","21:44:00",109,"Male",41,"Clothing",4,"30","32.4","120"
735,"2022-11-26","21:38:00",153,"Female",64,"Clothing",4,"500","515","2000"
943,"2022-11-05","19:29:00",90,"Female",57,"Clothing",4,"300","318","1200"
965,"2022-11-27","21:45:00",84,"Male",22,"Clothing",4,"50","13","200"
1615,"2022-11-17","13:43:00",82,"Female",61,"Clothing",4,"25","13.5","100"
